0, 45.43cm,
1, 45.45cm,
2, 45.77cm,
3, 45.33cm,
4, 44.91cm,
5, 45.34cm,
6, 45.33cm,
7, 45.33cm,
8, 45.34cm,
9, 45.33cm,
10, 45.43cm,
11, 45.45cm,
12, 45.45cm,
13, 45.43cm,
14, 45.33cm,
15, 45.76cm,
16, 45.33cm,
17, 45.34cm,
18, 45.34cm,
19, 45.45cm,
20, 45.46cm,
21, 45.45cm,
22, 45.34cm,
23, 45.34cm,
24, 45.77cm,
25, 45.34cm,
26, 45.34cm,
27, 45.45cm,
28, 45.45cm,
29, 45.46cm,
30, 45.43cm,
31, 45.34cm,
32, 45.77cm,
33, 45.34cm,
34, 45.34cm,
35, 45.43cm,
36, 45.43cm,
37, 45.02cm,
38, 45.45cm,
39, 45.34cm,
40, 45.34cm,
41, 45.34cm,
42, 44.90cm,
43, 45.34cm,
44, 44.86cm,
45, 44.55cm,
46, 45.00cm,
47, 45.43cm,
48, 45.45cm,
49, 44.43cm,
50, 44.91cm,
51, 45.34cm,
52, 44.91cm,
53, 45.34cm,
54, 45.34cm,
55, 45.43cm,
56, 45.45cm,
57, 45.45cm,
58, 45.34cm,
59, 45.34cm,
60, 44.91cm,
61, 45.34cm,
62, 45.34cm,
63, 45.33cm,
64, 45.45cm,
65, 45.45cm,
66, 45.86cm,
67, 45.33cm,
68, 45.33cm,
69, 45.34cm,
70, 45.34cm,
71, 45.33cm,
72, 45.45cm,
73, 45.43cm,
74, 45.43cm,
75, 45.02cm,
76, 45.34cm,
77, 45.33cm,
78, 45.33cm,
79, 45.34cm,
80, 45.34cm,
81, 45.45cm,
82, 45.45cm,
83, 45.00cm,
84, 45.45cm,
85, 45.33cm,
86, 45.34cm,
87, 45.33cm,
88, 45.33cm,
89, 45.33cm,
90, 45.43cm,
91, 45.45cm,
92, 45.00cm,
93, 45.34cm,
94, 45.33cm,
95, 45.33cm,
96, 44.91cm,
97, 45.33cm,
98, 44.91cm,
99, 45.45cm,
100, 45.45cm,
101, 45.31cm,
102, 45.21cm,
103, 45.19cm,
104, 45.07cm,
105, 45.05cm,
106, 44.74cm,
107, 44.74cm,
108, 44.74cm,
109, 44.64cm,
110, 44.64cm,
111, 44.64cm,
112, 44.64cm,
113, 44.74cm,
114, 44.74cm,
115, 44.60cm,
116, 44.50cm,
117, 44.48cm,
118, 44.50cm,
119, 44.50cm,
120, 44.64cm,
121, 44.74cm,
122, 44.74cm,
123, 44.74cm,
124, 44.66cm,
125, 44.50cm,
126, 44.50cm,
127, 44.50cm,
128, 44.60cm,
129, 44.62cm,
130, 44.74cm,
131, 44.74cm,
132, 44.64cm,
133, 45.07cm,
